# ==========================================
#        COPENHAGEN ATOMICS INVENTORY
# ==========================================
# Generated On: 2026-01-27 15:41:38
# File: Optimistic_composition_5y.csv
# ------------------------------------------
# SYSTEM TOTALS:
# Total Mass:  115.984087 kg
# Total Atoms: 1.936783e+27
# ------------------------------------------
# NOTE: Use pd.read_csv(..., comment='#') to read this file.
# ==========================================
Isotope,Atoms
Ag107,1028376.22
Y104,1001208.924
Y85,958876.6316
Ru108,778016.3157
Br79_m1,655220.9336
Br77_m1,284148.8525
Mo107,208347.6367
Te121_m1,200594.7325
Rb100,144233.9201
Ba151,139146.7175
Br94,95741.83955
Cs148,82824.68475
Zr87,71657.35368
Rb99,71178.12977
Rh109,54952.54499
Rh108,47877.92594
I121,46332.96981
Ag109_m1,27189.32299
Y105,24020.97586
Sr102,23790.51663
Ru109,23698.28363
Nb107,18944.66305
Ba130,18058.76711
Tc108,14731.02466
Zr107,9612.893492
Br75,8675.558341
I144,8657.341654
Mo108,3105.767311
Ba152,1544.218037
Sr103,625.7540093
Tc109,591.211222
Nb108,522.8204659
Br95,427.9239007
Mo109,364.3511017
I145,252.5194407
Ru100,225.0098614
Zr108,215.3972391
Nb109,188.9969595
Cs127,139.5412216
Rh110_m1,128.8288151
Zr109,123.2046673
Cs149,70.45868187
Y106,57.57678296
Ru110,52.43557876
Br96,34.89984631
Ba153,25.73730214
Rb101,17.08169459
Sr104,16.73924485
Sr105,7.046773417
Cs150,6.450637683
Tc110,4.160347678
Rb102,2.677282018
Mo110,1.356635105
Cs151,1.112831321
Nb110,0.955800489
Br97,0.87080785
Zr110,0.592171672
Rb79,0.06099281
Y107,0.016943756
Y108,0.013284259
Te124,0.000198713
Cs130,0.000132553
I124,6.73e-07
Se76,3.46e-07
Ba129,1.95e-09
Br76,1.12e-09
Ba128,9.59e-10
Cs128,9.93e-13
